
S,989,APDS9300_init OK
S,1578,MPU9250_init OK
S,1629,MPL3115A2_init OK
A,1630,-2028,-177,-77
G,1630,19,28,-102
V,1630,3.2734
A,1650,-2034,-179,-80
G,1650,17,27,55
A,1670,-2038,-181,-83
G,1670,40,27,-25
A,1690,-2042,-173,-86
G,1690,-24,-28,-47
A,1710,-2034,-173,-75
G,1710,19,39,58
A,1730,-2046,-177,-80
G,1730,9,45,-19
A,1750,-2039,-179,-83
G,1750,9,16,-30
A,1770,-2034,-182,-87
G,1770,15,-21,-28
A,1790,-2043,-178,-81
G,1790,-1,-72,-86
A,1810,-2043,-180,-76
G,1810,11,3,90
A,1830,-2041,-189,-88
G,1830,31,-38,-52
A,1850,-2032,-183,-86
G,1850,31,-34,-70
A,1870,-2032,-175,-89
G,1870,-1,-7,66
A,1890,-2036,-185,-87
G,1890,-12,47,5
A,1910,-2034,-172,-86
G,1910,-6,84,-3
A,1930,-2031,-174,-76
G,1930,-4,-32,-57
A,1950,-2038,-182,-78
G,1950,42,-34,-103
A,1970,-2041,-178,-82
G,1970,-18,56,37
A,1990,-2038,-176,-78
G,1990,3,-18,-73
A,2010,-2036,-180,-89
G,2010,19,-12,-122
A,2030,-2028,-174,-82
G,2030,5,50,72
A,2050,-2041,-179,-88
G,2050,22,39,77
A,2070,-2042,-183,-84
G,2070,41,-21,-30
A,2090,-2031,-175,-60
G,2090,17,-24,23
A,2110,-2043,-176,-91
G,2110,4,-6,-94
A,2130,-2037,-182,-87
G,2130,-20,23,16
A,2150,-2036,-186,-76
G,2150,6,68,8
A,2170,-2040,-177,-79
G,2170,13,-9,-59
A,2190,-2037,-193,-96
G,2190,0,59,50
A,2210,-2039,-176,-80
G,2210,-17,10,13
A,2230,-2037,-179,-78
G,2230,66,-23,-19
A,2250,-2042,-173,-84
G,2250,17,2,63
A,2270,-2039,-178,-93
G,2270,40,65,-20
A,2290,-2039,-180,-83
G,2290,-17,73,19
A,2310,-2032,-187,-79
G,2310,2,30,-47
A,2330,-2040,-180,-84
G,2330,10,-18,-43
A,2350,-2041,-173,-83
G,2350,10,20,-20
A,2370,-2039,-179,-81
G,2370,5,-14,4
A,2390,-2039,-174,-85
G,2390,26,-21,-55
A,2410,-2036,-182,-77
G,2410,-1,36,94
A,2430,-2031,-180,-96
G,2430,-23,37,18
A,2450,-2042,-175,-76
G,2450,2,3,-32
A,2470,-2045,-181,-86
G,2470,23,36,78
A,2490,-2042,-186,-79
G,2490,22,59,10
A,2510,-2040,-175,-82
G,2510,6,22,-6
A,2530,-2035,-174,-84
G,2530,-20,-82,-33
A,2550,-2045,-181,-77
G,2550,20,-40,-106
A,2570,-2038,-170,-65
